"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"18","03","MBTA","7085","","","","","18","03","MBTA","7085","","","18","03","08","6","30","AM","01","0","0","0","110","","WILMINGTON","15","25","35","1","6","020","R","300","2","0","B","Y","NO 2 TRACK","3","10.19","1","MBTA","001645","001","Y","","","000","","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","61321","2019","M101","","0","0","0","0","M101","1","3","020","63340","","25C017","0","000000","0","1","","1","1","02","45","02","45","1","1","","3","","","","110","","2018","0","0","0","0","0","0","MIDDLESEX","017","00","00","","Y","CWR","000-000-000","TRAIN 300 DERAILED AT WILMINGTON INTERLOCKING ON THE #2 TRACK BOTH TRUCK OF CONTROL CAR 1645 ARE ON","THE GROUND","","","","","","","","","","","","","","0","42.544053","-71.171345","1","1","A","B","","NHML",
"18","05","PW","PWR651818D","","","","","18","05","PW","PWR651818D","","","18","05","02","11","40","PM","01","2","1","0","0","","WORCESTER","68.0","25","50","4","1","010","R","NRWO","1","2509","1","Y","NORWICH SOUTH YARD","1","YARD","2","GATX","001026","013","Y","","","000","","3","0","0","0","0","0","0","0","0","0","18","0","5","0","0","3","0","0","0","0","4500","15000","T314","","0","0","0","0","T314","2","1","010","19500","","25C027","0","000000","0","1","","1","","05","40","05","40","1","1","","3L","","","","149","","2018","0","0","0","0","0","0","WORCESTER","027","","","","N","OTH","000-000-000","NRWO WAS TRAVERSING NORWICH 6 STOPPING TO LINE FOR NORWICH 8 AND WHEN THE 13TH CAR GOT TO THE SWITCH","IT PICKED THE 8/10 SWITCH DERAILING 3 CARS TOTAL","","","","","","","","","","","","","","0","42.1402","-71.4906","2","5","","","","WORCESTER",
"18","05","GTW","958463","18","05","CSX","000176265","18","05","CSX","000176265","","","18","05","08","7","25","AM","01","2","0","0","0","","PORT HURON","CBD 90","26","55","1","1","004","E","M383","4","1857","1","Y","PHD","1","","2","ATW","400431","048","Y","","","000","","2","0","0","0","0","0","0","0","0","0","51","0","8","0","0","2","0","0","0","0","10413","0","H306","H704","0","0","0","0","H702","2","1","004","19323","","26C147","0","000000","0","1","0","1","0","02","55","02","55","2","4","","1L","","","","646","","2018","0","0","0","0","0","0","ST CLAIR","147","","","","N","OTH","000-000-000","M38331-07 WAS DOUBLING OUT OF CSXT TRACKS WHEN THE ENGINEER NOTICED THAT THE TRAIN BECAME HARD TO PU","LL AND STOPPED THE MOVEMENT. CREW FOUND THAT ATW 400431 AND NOKL 360006 HAD DERAILED AT THE REAR OF","THEIR TRAIN. IT WAS FOUND THAT THE PREVIOUS CREW HAD SHOVED INTO THE YARD, WITHOUT PROTECTION AT THE","POINT, RESULTING IN THE LAST 6 CARS RUNNING THROUGH THE CSX SWITCH. WHEN THE OUTBOUND CREW BOARDED","THE TRAIN AND BEGAN TO PULL, THEY DERAILED THE 2 CARS DUE TO THE PREVIOUSLY RUN THROUGH SWITCH. THE","CSX HAS ADVISED $8,910 IN TRACK DAMAGE. RAILCAR PROX 32393 WAS STANDING IN THE CSX'S INTERCHANGE TRA","CK AND WAS DAMAGED WHEN ATW 400431 DERAILED.
","","","","","","","","","0","42.972513","-82.420641","2","5","","","","PORT HURON",
"18","05","GTW","960628","","","","","18","05","GTW","960628","","","18","05","27","1","45","PM","01","0","0","0","0","","LANSING","217.60","26","93","2","1","005","E","C712","3","13632","1","Y","TRACK 5","1","","2","SRLX","452247","082","Y","","","000","","2","0","0","0","0","0","0","0","0","0","96","0","0","0","0","3","0","0","0","0","6991","18472","H702","H704","0","0","0","0","H702","2","1","005","25463","","26C045","0","000000","0","1","0","1","0","05","35","05","35","1","4","","1L","","","","234","","2018","0","0","0","0","0","0","EATON","045","00","00","","N","OTH","000-000-000","LOADED COAL TRAIN, C71291-26, WAS SHOVING INTO TRACK #5 WHEN THE CONDUCTOR RAN THROUGH THE #4 PLANT","SWITCH WITHOUT REALIZING IT. THE CREW THEN MADE A REVERSE MOVE BACK THROUGH THE SWITCH DERAILING SRL","X 452247, SRLX 3021 AND SRLX 1070.","","","","","","","","","","","","","0","42.710253","-84.612815","2","5","","","","FLINT",
"18","06","LSRC","D180617","","","","","18","06","LSRC","D180617","","","18","06","17","3","0","AM","01","0","0","0","0","","BAY CITY","53.59","26","73","4","1","007","R","326A","2","8138","1","Y","DM SPUR","1","2.79","1","LSRC","008096","002","Y","","","000","","3","0","0","0","0","0","0","0","0","0","62","0","1","0","0","13","0","1","0","0","39200","65066","T110","","0","0","0","0","T110","1","1","007","104266","","26C017","0","000000","0","1","0","1","0","09","","09","","1","4","","3L","","","","92","","2018","0","0","0","0","0","0","BAY","017","","","","N","OTH","000-000-000","CREW WAS HEADING SOUTHBOUND ON MAIN LINE WITH 63 CAR TRAIN AND RAIL SPREAD DERAILING 14 CARS","","","","","","","","","","","","","","","0","43.61301","-83.887257","2","2","P","","","SAGINAW",
"18","03","NS","128983","18","03","CSX","000175482","18","03","BRC","14166","","","18","03","27","5","30","AM","01","0","0","0","0","","EAST CHICAGO","CD504.","18","50","1","3","000","E","","","0","","","DOUBLE-MAIN 2","5","0001","1","","","000","","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12162","E61C","","0","0","0","0","E62C","1","5","015","15737","","18C089","0","000000","0","0","0","0","0","","","","","2","4","","1L","","","","126","","2018","0","0","0","0","0","0","LAKE","089","","","","N","CWR","","**** CSX TRAIN **** CSX TRAIN Q388-27, PULLING EASTBOUND WITH BROKEN WHEEL ON 85TH HC SP253104, DERA","ILED CAUSING TRACK DAMAGE.","","","","","","","","","","","","","","","41.6658","-87.460649","1","1","Q","","","DEARBORN",
"18","05","NS","129502","","","","","18","05","NS","129502","","724933E","18","05","17","11","40","AM","07","0","0","0","0","","HUNTINGBURG","197.23","18","83","2","1","027","R","276D","4","4757","1","Y","SINGLE MAIN TRACK","4","0001","1","NS","006911","001","N","","","000","","1","0","0","0","0","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","14","12280","M303","","0","1","0","1","M303","1","4","027","12294","","18C037","1","000000","0","1","0","1","0","06","55","06","55","1","4","","1L","","","","82","","2018","0","0","0","0","0","1","DUBOIS","037","","","","N","CWR","000-000-000","NS TRAIN 276D914 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE VERIFIED.","","","","","","","","","","","","","","","0","38.310666","-86.9795","1","2","P","","","ILLINOIS",
"18","01","NS","128250","","","","","18","01","NS","128250","","510018T","18","01","23","4","8","AM","07","0","0","0","0","","GOSHEN","CD413.","18","35","1","3","058","R","21MB","4","5609","1","Y","DOUBLE-NS CHICAGO MA","4","0001","1","NS","001009","001","N","","","000","","5","0","0","0","0","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","120","15212","M303","","0","0","0","0","M303","1","4","058","15332","","18C039","0","000000","0","1","0","1","0","04","05","04","05","1","4","","1L","","","","84","","2018","0","0","0","0","0","0","ELKHART","039","","","","N","CWR","000-000-000","NS TRAIN 21MB322 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. HWY-USER'S AGE VERIFIED.","","","","","","","","","","","","","","","0","41.602484","-85.867767","1","1","Q","","","DEARBORN",
"18","05","ISRR","ISR652318R","","","","","18","05","ISRR","ISR652318R","","","18","05","04","7","45","AM","01","0","0","0","0","","LYNNVILLE","5.02","18","72","2","1","011","E","KUWB","1","13526","1","Y","WILD BOAR","1","","4","JAIX","800275","081","Y","","","000","","2","0","0","0","0","0","0","0","0","0","95","0","0","0","0","5","0","0","0","0","185269","33000","T212","","0","0","0","0","T212","4","1","011","218269","","18C173","0","000000","0","1","0","1","0","07","15","07","15","1","4","","3L","","","","404","","2018","0","0","0","0","0","0","WARRICK","173","00","00","","N","OTH","000-000-000","CREW LOADED 95 CARS OF COAL AT WILD BOAR MINE. CREW RAN POWER TO NORTH END OF LOADS, SET UP DP LOCO'","S, AIR TESTED AND WAS PULLING NORTH DIRECTION APPROXIMATELY 11 MPH OUT OF PEABODY TRACK WHEN CONDUCT","OR NOTICED SPARKS AND THAT CARS WERE DERAILING. THE CONDUCTOR CONTACTED THE ENGINEER VIA RADIO TO ST","OP THE MOVEMENT. CONDUCTOR CALLED THE ISRR TRAINMASTER ABOUT 5 CARS DERAILING WITH 2 CARS ON THEIR S","IDE.","","","","","","","","","","","0","38.185256","-87.334199","2","5","","","","LYNNVILLE",
"18","01","BNSF","KS0118107","","","","","18","01","BNSF","KS0118107","","","18","01","12","10","30","AM","01","0","0","0","0","","KANSAS CITY","4.0","20","11","2","1","004","E","YKCK","4","0","8","Y","526","1","","2","BNSF","005818","002","Y","","","000","","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12500","500","M101","","0","0","0","0","M101","2","1","004","13000","","20C209","0","000000","0","1","0","1","0","03","30","03","30","1","6","","1L","","","","149","","2018","0","0","0","0","0","0","WYANDOTTE","209","","","","N","OTH","000-000-000","Y-KCK5161-12 DERAILED 1 LOCOMOTIVE WHILE MOVING LIGHT POWER OUT OF YARD TRACK 526 DUE TO SNOW AND IC","E ON TRACK. NO HAZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","0","39.074865","-94.650108","2","5","K","","","EMPORIA",
"18","01","BNSF","KS0118109","","","","","18","01","BNSF","KS0118109","","","18","01","13","9","15","AM","01","0","0","0","0","","KANSAS CITY","6.3","20","8","2","1","004","E","YKCK","3","2989","7","Y","2012","1","","2","UTLX","670365","006","N","","","000","","1","0","0","0","0","0","0","0","0","0","19","0","33","0","0","0","0","1","0","0","14525","1200","T305","","0","0","0","0","T305","2","1","004","20936","","20C209","0","000000","0","0","0","1","1","","","01","16","3","6","","1L","","","","179","","2018","0","0","0","0","0","0","WYANDOTTE","209","","","","N","OTH","000-000-000","RCO Y-KCK1022-13 DERAILED A RAILCAR AND IMPACTED A CUT OF CARS DURING HUMPING OPERATIONS IN YARD TRA","CK 2012 DUE TO A MALFUNCTIONING RETARDER. NO HAZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","3","39.08445","-94.690455","2","5","K","","","EMPORIA",
"18","08","KCS","18082502","","","","","18","08","KCS","18082502","","","18","08","25","5","20","AM","01","0","0","0","0","","SHREVEPORT","0552.1","22","79","4","1","003","E","LBC3","2","0","8","Y","NORTH TAIL TRACK","1","","2","KCS","002020","003","N","","","000","","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1330","13711","E64L","","0","0","0","0","E64L","2","1","003","15041","","22C017","0","000000","0","1","0","1","0","05","19","05","19","1","5","","1L","","","","97","","2018","0","0","0","0","0","0","CADDO","017","","","","N","OTH","000-000-000","STARTED MOVEMENT IN THE NORTH TRACK & ENGINE DERAILED.  MP 522.10 SHREVEPORT TERMINAL SUBDIVISION","","","","","","","","","","","","","","","0","32.5418","-93.844812","1","5","Z","","","SHREVEPORT TERMINAL",
"18","03","BNSF","RD0318130","","","","","18","03","BNSF","RD0318130","","","18","03","30","7","46","AM","01","20","0","0","0","","LAFAYETTE","146.0","22","68","1","1","008","R","HCSX","4","6321","1","Y","102","1","","2","ACFX","079654","078","Y","ACFX","079654","078","Y","4","0","0","0","0","0","0","0","0","0","23","0","102","0","0","2","0","0","0","0","3800","26370","E64C","","0","0","0","0","E64C","2","1","008","30170","","22C055","0","000000","0","1","0","1","0","10","01","10","01","1","5","","1L","","","","134","","2018","0","0","0","0","0","0","LAFAYETTE","055","","","","N","OTH","000-000-000","H-CSXLAL1-29 DERAILED 2 RAILCARS WHILE PULLING OUT OF YARD TRACK 102 DUE TO RAILCAR WORN FLANGE. NO","HAZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","0","30.234766","-92.034892","2","5","K","","","LAFAYETTE",
"18","09","IC","973922","18","09","XCVT","INDUSTRY","18","09","IC","973922","","","18","09","20","3","20","AM","01","0","0","0","0","","CONVENT","403.20","22","80","4","1","004","R","INDU","1","3749","1","Y","SINGLE MAIN","3","18.21","1","MECX","001008","016","N","","","000","","1","0","0","0","1","0","0","0","0","0","0","0","150","0","0","0","0","3","0","0","21150","1970","M506","H704","0","0","0","0","M506","1","3","004","23120","","22C093","0","000000","0","1","0","0","0","","","","","1","5","","1L","","","","657","","2018","0","0","0","0","0","0","ST JAMES","093","","","","N","CWR","000-000-000","CONVENT MARINE TERMINAL EMPLOYEES WERE IN THE PROCESS OF MOVING AN EMPTY COAL TRAIN FROM THE INSIDE","TO THE OUTSIDE LOOP INSIDE THE CUSTOMER'S FACILITY. IN THE PROCESS THEY PULLED THE TRAIN OUT ONTO TH","E CN'S MAIN LINE WITHOUT AUTHORITY AND THROUGH AN IMPROPERLY LINED SWITCH. THE OPERATOR CONTINUED ON","TO THE MAIN LINE FOR APPROX. 827' AND REALIZED HE WAS NOT ON THE CORRECT TRACK. HE BOUGHT THE TRAIN","TO A STOP AND SHOVED BACK APPROX. 217' WHEN THE TRAIN WENT INTO EMERGENCY. HE WALKED BACK AND FOUND","THAT MECX 1162, MECX 1046, MECX 1008 HAD DERAILED. INDUSTRY IS RESPONSIBLE FOR THE DERAILMENT. LENGT","H OF TIME ON DUTY 44. ENGINEER/OPERATOR HRS:MINS UNKNOWN.","","","","","","","","","0","30.052928","-90.831935","1","2","D","J","P","BATON ROUGE",
